user,location,content,time
NCBI,"Bethesda, Maryland, USA","Sunday, July 19 1-1:45PM | Magic-BLAST: an accurate RNA-Seq mapper (BCC West)

Magic-BLAST maps NGS runs against 1… https://t.co/wgK4c3YAur",2020-07-16 19:46:27
NCBI,"Bethesda, Maryland, USA","Sunday, July 19 1-1:45PM | BLAST in a container (BCC West)

BLAST is used in many different environments and pipeli… https://t.co/juztSa4m3p",2020-07-16 19:45:12
NCBI,"Bethesda, Maryland, USA",NCBI staff will be presenting online at the Bioinformatics Community Conference 2020. https://t.co/xNCpQsBeAR Read… https://t.co/AUmvaQe4dk,2020-07-16 19:44:55
JasonWilliamsNY,"Cold Spring Harbor, NY",RT @OBF_BOSC: Thanks to those who joined us at the #BCC2020 western hemisphere open house! The eastern hemisphere open house is coming up:…,2020-07-16 17:43:44
OBF_BOSC,,Thanks to those who joined us at the #BCC2020 western hemisphere open house! The eastern hemisphere open house is c… https://t.co/0JJpa3X0pX,2020-07-16 16:58:31
DNAed_tech,United States,RT @tayabsoomro: Had great fun at the #BCC2020 Open House today with @use_remo conference room interface! Looking forward to the conference…,2020-07-16 16:42:02
openhousetwts,"Denver, CO",RT @tayabsoomro: Had great fun at the #BCC2020 Open House today with @use_remo conference room interface! Looking forward to the conference…,2020-07-16 16:41:18
soombrosinc,,RT @tayabsoomro: Had great fun at the #BCC2020 Open House today with @use_remo conference room interface! Looking forward to the conference…,2020-07-16 16:40:15
tayabsoomro,"Saskatoon, Saskatchewan",Had great fun at the #BCC2020 Open House today with @use_remo conference room interface! Looking forward to the con… https://t.co/P6G8plLi2B,2020-07-16 16:38:08
jociecolella,"Durham, NH","Ok, Remo digital conferencing looks pretty cool!! There are digital 'floors' and 'tables' to navigate and multiple… https://t.co/TR6I8Jl3fU",2020-07-16 15:41:57
AnneFouilloux,,RT @galaxyproject: 2 hours remaining to register for the 2020 Bioinformatics Community Conference (#BCC2020). After that the ticket office…,2020-07-16 13:32:02
rushil1904,"New Delhi, India",All pumped for the 2020 Bioinformatics Community Conference #BCC2020 @galaxyproject @OBF_BOSC,2020-07-16 13:24:06
elixirnorway,Norway,"RT @edamontology: Update about EDAM is in a new poster and abstract at https://t.co/6zY8pA6uKE
Presented at #ELIXIR20 #ISMB2020 #BCC2020 th…",2020-07-16 12:49:09
edamontology,,"Update about EDAM is in a new poster and abstract at https://t.co/6zY8pA6uKE
Presented at #ELIXIR20 #ISMB2020… https://t.co/ZyCkZ5E6Vv",2020-07-16 12:32:47
bjoerngruening,,RT @galaxyproject: 2 hours remaining to register for the 2020 Bioinformatics Community Conference (#BCC2020). After that the ticket office…,2020-07-16 08:51:07
xDBio_Inc,"Montana, USA",RT @galaxyproject: 2 hours remaining to register for the 2020 Bioinformatics Community Conference (#BCC2020). After that the ticket office…,2020-07-16 06:30:35
Yvan2935,Concarneau,RT @galaxyproject: 2 hours remaining to register for the 2020 Bioinformatics Community Conference (#BCC2020). After that the ticket office…,2020-07-16 06:12:20
GalaxyAustralia,Australia,RT @galaxyproject: 2 hours remaining to register for the 2020 Bioinformatics Community Conference (#BCC2020). After that the ticket office…,2020-07-16 05:34:06
ascendox,"Reno, NV","RT mike_schatz ""RT galaxyproject: 2 hours remaining to register for the 2020 Bioinformatics Community Conference (… https://t.co/3nlE5Y2Hf0",2020-07-16 05:32:06
serghei_mangul,Santa Monica,RT @galaxyproject: 2 hours remaining to register for the 2020 Bioinformatics Community Conference (#BCC2020). After that the ticket office…,2020-07-16 05:12:01
bioinfbrad,,RT @ELIXIREurope: 🚨Registration closing #TODAY for this conference where ELIXIR is heavily involved. Co-organised by @galaxyproject and @Au…,2020-07-16 05:10:41
copypasteusa,,RT @galaxyproject: 2 hours remaining to register for the 2020 Bioinformatics Community Conference (#BCC2020). After that the ticket office…,2020-07-16 05:06:27
mike_schatz,"JHU, Baltimore, MD",RT @galaxyproject: 2 hours remaining to register for the 2020 Bioinformatics Community Conference (#BCC2020). After that the ticket office…,2020-07-16 05:00:59
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,2 hours remaining to register for the 2020 Bioinformatics Community Conference (#BCC2020). After that the ticket of… https://t.co/WXwS3HZmZz,2020-07-16 05:00:00
AusBiocommons,,"RT @galaxyproject: #BCC2020 Registration closes in ~36 hours.  About 20% of training sessions are full, but there is still space in all oth…",2020-07-16 03:55:26
AusBiocommons,,"RT @pratikomics: The @usegalaxyp team along with @shiltemann will be presenting a workshop on ""Adding Fun(ction) to #microbiome Analysis: #…",2020-07-16 03:55:07
abbycabs,"Toronto, Canada","Very excited to be keynoting #BCC2020 next week! There are a few hours left before registration closes. 

Hope to s… https://t.co/q7Nz8asBSi",2020-07-15 23:49:05
Romain_DAVID_13,"Montignac, France",RT @Yvan2935: Interesting workflow oriented initiative! Did you know that you can use @galaxyproject workflows in biodiversity research? Wh…,2020-07-15 18:42:49
jmclenna,"Cambridge, England","RT @eLifeInnovation: Our community manager @emmy_ft will be around at #BCC2020, sharing the latest updates on enriching papers with code an…",2020-07-15 17:31:25
rmflight,"Lexington, KY","Somehow I missed that #bioc2020 was also this month, along w/ #bcc2020.  I can really only afford (money and timewi… https://t.co/1zGmd0vb5h",2020-07-15 17:20:43
smllmp,Stockholm + Addis Abeba,Just got my tickets for @OBF_BOSC #bosc2020 / #bcc2020. Should be some ~15 hours left to register :) #bioinformatics,2020-07-15 15:51:35
DNAed_tech,United States,"RT @eLifeInnovation: Our community manager @emmy_ft will be around at #BCC2020, sharing the latest updates on enriching papers with code an…",2020-07-15 15:42:30
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,"RT @eLifeInnovation: Our community manager @emmy_ft will be around at #BCC2020, sharing the latest updates on enriching papers with code an…",2020-07-15 15:36:35
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,RT @Yvan2935: Interesting workflow oriented initiative! Did you know that you can use @galaxyproject workflows in biodiversity research? Wh…,2020-07-15 15:36:24
galaxyproject,Penn State | Johns Hopkins | OHSU | Cleveland Clinic,RT @ELIXIREurope: 🚨Registration closing #TODAY for this conference where ELIXIR is heavily involved. Co-organised by @galaxyproject and @Au…,2020-07-15 15:36:07
IFB_Bioinfo,France,RT @ELIXIREurope: 🚨Registration closing #TODAY for this conference where ELIXIR is heavily involved. Co-organised by @galaxyproject and @Au…,2020-07-15 15:34:58
ElixirNodeUk,,RT @ELIXIREurope: 🚨Registration closing #TODAY for this conference where ELIXIR is heavily involved. Co-organised by @galaxyproject and @Au…,2020-07-15 14:37:03
TerraBioApp,"Cambridge, MA","RT @ucscgenomics: Coming up: @UCSC_BSOE's @geezlooueez, @easheets &amp;  @BroadInstitute collaborators will lead a #BCC2020 workshop 7/18 on re…",2020-07-15 14:29:23
rvmngr,,"RT @galaxyproject: #BCC2020 Registration closes in ~36 hours.  About 20% of training sessions are full, but there is still space in all oth…",2020-07-15 13:56:55
Subina_Mehta,,"RT @pratikomics: The @usegalaxyp team along with @shiltemann will be presenting a workshop on ""Adding Fun(ction) to #microbiome Analysis: #…",2020-07-15 13:56:07
OpenSciTalk,,"RT @eLifeInnovation: Our community manager @emmy_ft will be around at #BCC2020, sharing the latest updates on enriching papers with code an…",2020-07-15 11:57:19
_open_science_,,"RT @eLifeInnovation: Our community manager @emmy_ft will be around at #BCC2020, sharing the latest updates on enriching papers with code an…",2020-07-15 11:56:04
BaobabLims,"Cape Town, South Africa","RT @galaxyproject: #BCC2020 Registration closes in ~36 hours.  About 20% of training sessions are full, but there is still space in all oth…",2020-07-15 11:47:30
