name,predict_gender,female_prob,male_prob,country,affiliation,race,black_prob,white_prob,hispanic_prob,api_prob,"Asian,GreaterEastAsian,EastAsian_prob","Asian,GreaterEastAsian,Japanese_prob","Asian,IndianSubContinent_prob","GreaterAfrican,Africans_prob","GreaterAfrican,Muslim_prob","GreaterEuropean,British_prob","GreaterEuropean,EastEuropean_prob","GreaterEuropean,WestEuropean,French_prob","GreaterEuropean,WestEuropean,Germanic_prob","GreaterEuropean,Jewish_prob","GreaterEuropean,WestEuropean,Hispanic_prob","GreaterEuropean,WestEuropean,Italian_prob","GreaterEuropean,WestEuropean,Nordic_prob",race_census
Nathan Roach,male,0.4411264703893052,0.5588735296106946,United States,Galaxy Works,"GreaterEuropean,British",0.10609539999999999,0.8681158000000001,0.016551228,0.009237616,0.027538594,0.014752664,0.0043904693,0.008201651,0.0049317144,0.6431773,0.02897359,0.06945576,0.050204314,0.06858277,0.031150643,0.01955985,0.029080776,white
Neha Roy,female,0.9825659675953974,0.017434032404602017,South Korea,Kangwon National University,"Asian,IndianSubContinent",0.06274724,0.85591865,0.037396543,0.043937523,0.00238137,0.000857844,0.73580575,0.0009140319,0.031086784,0.055776436,0.003936832,0.13899662,0.0037064746,0.0027618331,0.019225966,0.0038365396,0.0007136323,white
Coline Royaux,female,0.7589323620194499,0.24106763798055,France,French National Museum of Natural History,"GreaterEuropean,WestEuropean,French",0.10791614,0.863458,0.027750663,0.00087530183,0.0056414288,0.00043939974,0.018296001,0.0096960915,0.0063857734,0.03632415,0.0026145128,0.85751843,0.0021267333,0.011491159,0.037012305,0.010601584,0.0018524366,white
Sangram Keshari Sahu,male,0.13483243662544891,0.8651675633745514,India,Shivom,"Asian,IndianSubContinent",0.08201236,0.5203108,0.2564779,0.14119892,0.015337967,0.013600377,0.5417437,0.04819932,0.16658138,0.026939863,0.0061503327,0.055445947,0.002593461,0.08571706,0.011775412,0.022375014,0.0035401771,white
Ray Sajulga,female,0.5786625849764301,0.42133741502356975,United States,National Marrow Donor Program,"GreaterEuropean,WestEuropean,Hispanic",0.0033409840000000004,0.06632171,0.9037603999999999,0.026576972999999997,0.001639385,0.004290509,0.039623816,0.21469039,0.015196723,0.008424525,0.008092976,0.07291789,0.0012759734,0.0033085202,0.6022624,0.024913928,0.0033628915,hispanic
Varuni Sarwal,female,0.8659979274030714,0.13400207259692906,India,Indian Institute of Technology Delhi,"Asian,IndianSubContinent",0.0058343119999999995,0.07838491,0.0036502064,0.91213053,0.00019962067,0.00022618368,0.8591591,0.0031716682,0.100361325,0.0026285,0.0001647583,0.0034520912,0.00013775383,0.00050122186,0.027329138,0.0011038635,0.0015647792,api
Till Sauerwein,male,0.4961049868702132,0.5038950131297869,Germany,Institute for Molecular Infection Biology,"GreaterEuropean,Jewish",0.0042516957000000005,0.97755957,0.015454299,0.0027344225,0.0108841555,0.0003262734,0.0023148446,0.0008835886,0.006804488,0.17911841,0.0097739315,0.13382311,0.048299737,0.5883599,0.015906554,0.0020017498,0.0015033174,white
Kevin Sayers,male,0.4411264703893052,0.5588735296106946,Spain,Seqera Labs,"GreaterEuropean,British",0.22175671,0.7527224,0.01901414,0.0065067373,0.016750813,0.0033721044,0.029062932,0.0051971846,0.025758158,0.76358706,0.009077545,0.056924514,0.0041537844,0.043014225,0.016425261,0.019955413,0.006721062,white
Michael Schatz,male,0.4961049868702132,0.5038950131297869,United States,Johns Hopkins University,"GreaterEuropean,Jewish",0.0023674944,0.9779952,0.017487902,0.002149448,0.00091313786,0.0028358866,0.00048228647,0.0005085112,0.0014855398,0.012984751,0.045365535,0.105443425,0.33591273,0.3820059,0.06795208,0.020256251,0.023854015,white
Oliver Schilling,male,0.20424982548744489,0.7957501745125553,Germany,University of Freiburg,"GreaterEuropean,WestEuropean,Germanic",0.0030733014,0.9832155,0.011035796,0.0026753277,0.0035373045,0.0027129746,0.0010238092,0.0039233034,0.016975017,0.30744347,0.034022834,0.10384552,0.31490886,0.08158127,0.03439661,0.007310857,0.088318065,white
Karl Sebby,male,0.4961049868702132,0.5038950131297869,United States,Truwl,"GreaterEuropean,British",0.13086009,0.8501216999999999,0.016939258000000002,0.0020789383,0.0081092995,0.0010285658,0.0025230488,0.0044134213,0.026502779,0.8021625,0.0020025473,0.053502098,0.0020293132,0.049126156,0.005124262,0.0071460274,0.03632979,white
Tharindu Senapathi,male,0.3425244505862309,0.6574755494137693,South Africa,University of Cape Town,"Asian,IndianSubContinent",0.007937745999999999,0.09324472,0.0043976377,0.89441985,2.8315837e-05,0.00020178112,0.99604577,0.00057803874,0.001400079,0.001023761,1.9249379e-05,9.4573894e-05,1.6858294e-05,0.0002258331,8.1800375e-05,0.00028199673,2.0163336e-06,api
Malvika Sharan,female,0.9825659675953974,0.017434032404602017,United Kingdom,The Alan Turing Institute,"GreaterEuropean,Jewish",0.033621296,0.9372135,0.020290416000000002,0.008874746,0.015403037,0.0029308014,0.2553601,0.010403567,0.23806106,0.03878068,0.028475437,0.010169972,0.00068449456,0.37823036,0.019252121,0.0019687635,0.00027953315,white
Harsh Sharma,female,0.5456744045493539,0.4543255954506458,India,Amity University,"Asian,IndianSubContinent",0.003710411,0.04903554,0.017685743,0.92956835,5.1057985e-05,1.0698019e-05,0.9896717,0.0011427496,0.0044406764,0.0029045835,0.0005734245,0.00024086032,0.000116601914,0.0007189619,5.9814778e-05,3.401886e-05,3.4968933e-05,api
Beth Sheets,female,0.5456744045493539,0.4543255954506458,United States,"University of California, Santa Cruz","GreaterEuropean,British",0.06294012,0.9239579,0.009430901,0.0036710484000000002,0.013691062,0.042125814,0.013956673,0.020284098,0.017063718,0.40429637,0.106550336,0.015260738,0.00217354,0.33824092,0.022569805,0.0025619208,0.0012248985,white
