name,predict_gender,female_prob,male_prob,country,affiliation,race,black_prob,white_prob,hispanic_prob,api_prob,"Asian,GreaterEastAsian,EastAsian_prob","Asian,GreaterEastAsian,Japanese_prob","Asian,IndianSubContinent_prob","GreaterAfrican,Africans_prob","GreaterAfrican,Muslim_prob","GreaterEuropean,British_prob","GreaterEuropean,EastEuropean_prob","GreaterEuropean,WestEuropean,French_prob","GreaterEuropean,WestEuropean,Germanic_prob","GreaterEuropean,Jewish_prob","GreaterEuropean,WestEuropean,Hispanic_prob","GreaterEuropean,WestEuropean,Italian_prob","GreaterEuropean,WestEuropean,Nordic_prob",race_census
Pranavathiyani G,female,0.8601043364664513,0.13989566353354882,Pranavathiyani G,Pranavathiyani G,"GreaterEuropean,WestEuropean,French",0.073606975,0.29263390000000006,0.07148702,0.5622720999999999,0.10141291,0.034573812,0.06753773,0.018844863,0.076026656,0.07937681,0.07673288,0.14437932,0.06938636,0.051030524,0.059162676,0.14376365,0.07777186,api
Carrie Ganote,female,0.7550955466545506,0.24490445334544936,Carrie Ganote,Carrie Ganote,"GreaterEuropean,WestEuropean,Italian",0.0051704687,0.069709994,0.8872285,0.03789109,0.008617255,0.08959807,0.0015258491,0.023761269,0.00069721456,0.07886281,0.0050204406,0.13465849,0.012297043,0.028975517,0.11114078,0.50268847,0.0021568772,hispanic
Star Gao,male,0.1863785023882097,0.8136214976117904,Star Gao,Star Gao,"Asian,GreaterEastAsian,EastAsian",0.0012223645,0.008108967,0.016683731,0.97398496,0.90284866,0.033917572,0.028351858,0.009038527,0.0008257046,0.005576231,0.0014512693,0.001264941,0.0002953964,0.0012437371,0.0046153977,0.0088998405,0.0016708332,api
Angel Blanco Garcia,male,0.4832691227435037,0.5167308772564961,Angel Blanco Garcia,Angel Blanco Garcia,"GreaterEuropean,WestEuropean,Hispanic",0.0022933222,0.055006772,0.9297098,0.012990171000000002,0.0034680937,0.005951775,0.030409167,0.0031420307,0.009626552,0.060284,0.002893426,0.09309745,0.00183473,0.008373915,0.4919662,0.28832215,0.0006306265,hispanic
Nanditha Garge,female,0.9832163392002976,0.016783660799702234,Nanditha Garge,Nanditha Garge,"GreaterEuropean,British",0.05067022,0.8815028,0.062010333,0.005816678499999999,0.007107959,0.000576177,0.028063243,0.0127731925,0.005091455,0.4812707,0.014495784,0.21202822,0.03383701,0.08855467,0.016202344,0.03289512,0.067104176,white
Xavier Garnier,male,0.1863785023882097,0.8136214976117904,Xavier Garnier,Xavier Garnier,"GreaterEuropean,WestEuropean,French",0.18363628,0.7937003,0.019424457,0.0032389640000000004,0.0024615948,0.0001089714,0.0050914404,0.0010118516,0.0005839411,0.13548286,0.003053053,0.8287136,0.0010900353,0.0088246055,0.00848285,0.0049031316,0.00019207293,white
Anamika Singh Gaur,female,0.9832163392002976,0.016783660799702234,Anamika Singh Gaur,Anamika Singh Gaur,"Asian,IndianSubContinent",0.016377354,0.5899298000000001,0.012521988999999999,0.38117084,0.009278765,0.0008418787,0.28920728,0.006147823,0.013826417,0.21804886,0.045723367,0.22332981,0.01119746,0.15038148,0.011204696,0.0078468025,0.012965308,white
Sonya Geange,female,0.9832163392002976,0.016783660799702234,Sonya Geange,Sonya Geange,"GreaterEuropean,British",0.12195959,0.8466908999999999,0.02555939,0.0057900753,0.0010393455,0.00050713035,0.0010987113,0.037638143,0.0005352493,0.87588555,0.0009704072,0.066221096,0.0021302903,0.0033985663,0.0018178043,0.006184446,0.0025733323,white
Rishi Ghose,female,0.8601043364664513,0.13989566353354882,Rishi Ghose,Rishi Ghose,"Asian,IndianSubContinent",0.07314513,0.8136826,0.02463227,0.08854001,0.00079094316,0.00031550965,0.9533316,0.006218011,0.0019985172,0.014307939,0.00033860805,0.013856851,0.00044809296,0.004423565,0.00057961774,0.0032511905,0.00013963212,white
Andrea Giachetti,female,0.9832163392002976,0.016783660799702234,Andrea Giachetti,Andrea Giachetti,"GreaterEuropean,WestEuropean,Italian",0.0062721,0.96124566,0.02764919,0.004833082,0.00020475543,0.00041792542,0.0010683167,0.00047926302,0.0003426197,0.02140672,0.005927833,0.03487754,0.0016020023,0.024216115,0.17292853,0.73596275,0.00056564074,white
