username,date,retweets,favorites,text,geo,mentions,hashtags,id,;permalink,,,,,
AndresBaq,6/11/2011 15:18,0,0,Como me re contra emputa que escriban asi: (hola kmo staz) # ASCO,,,#,7.96287E+16,https://twitter.com/AndresBaq/status/79628684885114881,,,,,
iPablow,6/11/2011 15:18,0,0,@ robmorales5 @ pposition @ jaime_msa os creéis que somos la cima de la sociedad mirando por encima a otras carreras y trabajos. # asco,,@ @ @,#,7.96286E+16,https://twitter.com/iPablow/status/79628575485075456,,,,,
javcuadra,6/11/2011 15:16,0,0,"Me Apesta Cuando la # Gente Critica Critica y no hace nada, a veces si siquiera se informa, un # asco",,,# #,7.96281E+16,https://twitter.com/javcuadra/status/79628107748880385,,,,,
JonathanWalcott,6/11/2011 15:14,0,0,esto de tuitiar en la web es # asco,,,#,7.96277E+16,https://twitter.com/JonathanWalcott/status/79627698267369472,,,,,
cHica_Lunar_,6/11/2011 15:14,0,0,@ survivor_30 ZniiF!! todas las compañias son un # Asco!!! ¬¬,,@,#,7.96276E+16,https://twitter.com/cHica_Lunar_/status/79627617036275713,,,,,
yenniincubus,6/11/2011 15:13,0,0,@ henry_5370 @ SotoOfficial o mejor dicho de debes de tener llego de MIERDAAAA # ASCO,,@ @,#,7.96273E+16,https://twitter.com/yenniincubus/status/79627304233476096,,,,,
VilmaryP,6/11/2011 15:13,0,0,Dos cosas que NO ME SOPORTO EN UN HOMBRE: los PELOS y la TRANSPIRACIÓN! # Asco,,,#,7.96273E+16,https://twitter.com/VilmaryP/status/79627290870427649,,,,,
Amandarina,6/11/2011 15:12,0,0,"Haciendo Zapping veo en Venevision de una novela que la pasan de 2:30 a 4, no es como que mucho??!! # Asco",,,#,7.96272E+16,https://twitter.com/Amandarina/status/79627199573012480,,,,,
asantamariab,6/11/2011 15:07,0,0,@ ArianneRosario3 # guacala # asco # vomito,,@,# # #,7.96258E+16,https://twitter.com/asantamariab/status/79625803972874241,,,,,
ERICZINHOUL,6/11/2011 15:04,0,0,"Claroo que tem as pesooas que eu tenho # ASCO, e vem querer beber n meu copo,",,,#,7.96251E+16,https://twitter.com/ERICZINHOUL/status/79625061539123200,,,,,
AndreGuerraF,6/11/2011 15:01,0,0,Huyyy q # ASCO esaaa viejaa tan barataaa huy nooo # gasssss,,,# #,7.96244E+16,https://twitter.com/AndreGuerraF/status/79624351300853760,,,,,
rchavez_,6/11/2011 15:01,0,0,Que onda con # sabadazo ?? Los 'personajes' son para que se identifique la gente o que?? # asco @ eazcarraga,,@,# #,7.96243E+16,https://twitter.com/rchavez_/status/79624320493699072,,,,,
joseluis727,6/11/2011 14:59,0,0,Nunca me imagine que había tantos ganchos de ropa en la casa hasta que hoy me dio por barrer debajo de mi cama # Asco,,,#,7.96239E+16,https://twitter.com/joseluis727/status/79623924362653696,,,,,
